RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-04-30,2022-06-30,2023-03-31
394822,438,"Manitowoc, WI",Msa,WI,2022-03-31,2.2,5.7,12.3
394644,439,"Great Falls, MT",Msa,MT,2022-03-31,2.4,6.9,13.1
395231,440,"Wilson, NC",Msa,NC,2022-03-31,1.7,4.7,12.7
394511,441,"Cullman, AL",Msa,AL,2022-03-31,1.7,5.1,12.4
394936,442,"Olean, NY",Msa,NY,2022-03-31,2.1,5.5,14.3
394350,443,"Auburn, NY",Msa,NY,2022-03-31,1.8,5.2,10.8
394999,444,"Portsmouth, OH",Msa,OH,2022-03-31,1.7,4.8,8.7
394345,445,"Athens, TX",Msa,TX,2022-03-31,4.1,10.9,20.5
394925,446,"Oak Harbor, WA",Msa,WA,2022-03-31,2.6,7.7,15.3
394465,447,"Chillicothe, OH",Msa,OH,2022-03-31,1.7,5.0,10.2
394682,448,"Hinesville, GA",Msa,GA,2022-03-31,1.7,4.8,9.8
395106,449,"Somerset, PA",Msa,PA,2022-03-31,1.5,4.2,8.9
395205,450,"Warsaw, IN",Msa,IN,2022-03-31,2.0,5.7,12.2
395133,451,"Stillwater, OK",Msa,OK,2022-03-31,1.6,4.8,9.3
395010,452,"Quincy, IL",Msa,IL,2022-03-31,1.6,4.5,8.6
394738,453,"Keene, NH",Msa,NH,2022-03-31,2.2,6.2,13.1
395062,454,"Sandusky, OH",Msa,OH,2022-03-31,2.5,6.7,13.9
395077,455,"Searcy, AR",Msa,AR,2022-03-31,1.7,4.7,10.2
394489,456,"Columbus, IN",Msa,IN,2022-03-31,1.8,5.2,10.5
395027,457,"Roanoke Rapids, NC",Msa,NC,2022-03-31,1.6,4.6,9.8
394452,458,"Centralia, WA",Msa,WA,2022-03-31,2.7,7.4,16.0
394445,459,"Casper, WY",Msa,WY,2022-03-31,1.6,4.7,8.2
394675,460,"Helena, MT",Msa,MT,2022-03-31,2.5,7.0,15.8
394593,461,"Findlay, OH",Msa,OH,2022-03-31,1.8,4.9,10.4
753928,462,"Wisconsin Rapids-Marshfield, WI",Msa,WI,2022-03-31,1.8,5.3,11.8
394955,463,"Palatka, FL",Msa,FL,2022-03-31,2.2,6.3,15.5
395085,464,"Seneca, SC",Msa,SC,2022-03-31,2.3,6.7,14.2
394884,465,"Mount Airy, NC",Msa,NC,2022-03-31,1.7,4.7,10.3
753881,466,"Glenwood Springs, CO",Msa,CO,2022-03-31,2.2,6.4,14.1
394744,467,"Key West, FL",Msa,FL,2022-03-31,2.9,9.1,17.0
394298,468,"Aberdeen, WA",Msa,WA,2022-03-31,2.5,7.7,20.4
394626,469,"Gallup, NM",Msa,NM,2022-03-31,1.6,4.8,9.7
394994,470,"Port Angeles, WA",Msa,WA,2022-03-31,2.6,7.6,17.6
753883,471,"Greenfield Town, MA",Msa,MA,2022-03-31,2.0,4.5,11.9
394897,473,"Muskogee, OK",Msa,OK,2022-03-31,1.6,3.3,7.7
394614,474,"Frankfort, KY",Msa,KY,2022-03-31,1.7,5.0,9.9
394950,475,"Owosso, MI",Msa,MI,2022-03-31,3.0,8.7,15.9
394885,476,"Mount Pleasant, MI",Msa,MI,2022-03-31,1.6,4.6,10.8
395126,477,"Statesboro, GA",Msa,GA,2022-03-31,1.9,5.9,12.1
394826,478,"Marion, IN",Msa,IN,2022-03-31,1.6,4.8,10.5
395132,479,"Stevens Point, WI",Msa,WI,2022-03-31,2.0,5.8,11.2
394866,480,"Minot, ND",Msa,ND,2022-03-31,1.6,3.6,4.9
395088,481,"Shawnee, OK",Msa,OK,2022-03-31,1.2,5.3,10.8
394922,482,"North Wilkesboro, NC",Msa,NC,2022-03-31,1.9,5.6,13.6
395021,483,"Richmond, IN",Msa,IN,2022-03-31,1.6,4.6,8.7
